,Unnamed: 0,Unnamed: 0.1,country,target,model,params,f1,accuracy,precision,recall,roc_auc
27,27.0,3.0,Cambodia,if_sex_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5}",0.113875189197298,0.6086085723765571,0.0628285004785018,0.61,0.672214031723794
28,28.0,4.0,Cambodia,if_sex_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2}",0.1155311089492821,0.6085980152625704,0.0637431782952264,0.619090909090909,0.6617371433744524
29,29.0,5.0,Cambodia,if_sex_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5}",0.116686897654883,0.6097577896419629,0.0643784409978003,0.6272727272727273,0.6598125007420423
30,30.0,6.0,Cambodia,if_sex_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2}",0.1238247154840465,0.6244879799716465,0.0685679519786906,0.6463636363636364,0.670556457549242
31,31.0,7.0,Cambodia,if_sex_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5}",0.1228767427402004,0.6233387627062408,0.0680584938326346,0.6381818181818183,0.6803074132997733
32,32.0,8.0,Cambodia,if_sex_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",0.1174267939431459,0.6113353241033993,0.0648037489351888,0.6290909090909091,0.6638853485224453
33,33.0,9.0,Cambodia,if_sex_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",0.1139634384509886,0.6171236388863752,0.0630195590956514,0.6,0.67525673180809
34,34.0,10.0,Cambodia,if_sex_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2}",0.1198277089546124,0.614046994238832,0.0661507441401293,0.6372727272727273,0.6629272234556616
35,35.0,11.0,Cambodia,if_sex_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 5}",0.1205056323559203,0.6105375079178355,0.0664816242710103,0.6472727272727272,0.6771503348095029
36,36.0,0.0,Cambodia,if_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}",0.4553445042954953,0.6031791994691279,0.3518973886587279,0.6466530981456354,0.6742491125504478
