,country,target,model,params,f1,accuracy,precision,recall,roc_auc
0,Five_countries,if_emo_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}",0.3714718898195978,0.6097800521292022,0.2756307107192488,0.5696649861766141,0.6388257790667418
1,Five_countries,if_emo_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5}",0.3679244582555196,0.6084117272913274,0.27327647426289,0.5631387217433729,0.6385198648062469
2,Five_countries,if_emo_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.3769247794967403,0.6012915988364336,0.2756993348914947,0.5957581178511411,0.6456661530327994
3,Five_countries,if_emo_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5}",0.3769672835407311,0.5992633414284826,0.27509525670509627,0.5987862525071826,0.6467076424894352
4,Five_countries,if_emo_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2}",0.3744816844584277,0.5929921583802585,0.271800351422389,0.602055618799805,0.6393428593192383
5,Five_countries,if_emo_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5}",0.37428190342091006,0.5951143551012784,0.27237110171520734,0.598319509947417,0.639956785549139
6,Five_countries,if_emo_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2}",0.36979895034097016,0.6087438285607537,0.27437657896713463,0.5671019677996422,0.6389874588771163
7,Five_countries,if_emo_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5}",0.36996545116902857,0.605300254418973,0.2733350950480033,0.5724611047866862,0.6398811159600525
8,Five_countries,if_emo_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",0.37658247496280917,0.6007258279736329,0.2753198733615079,0.595753239009053,0.6475753194434628
9,Five_countries,if_emo_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",0.37546586695038064,0.6019513534911443,0.27515609094846993,0.5910950290020057,0.6461871701733783
10,Five_countries,if_emo_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2}",0.37729897151279446,0.5971422789179188,0.27451137297454203,0.6032216620588715,0.6403743619080892
11,Five_countries,if_emo_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 5}",0.3750131926798729,0.5980843852579327,0.27372822049624257,0.5955271859923023,0.6398699706564246
